epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9545,1.71373,3.07697,1.54412,0.00667,0.63158,0.13624,0.0741,1.58565,3.421,1.70602,0.0001,0.0001,0.0001
2,37.2464,1.58948,2.84311,1.4523,0.00556,0.52632,0.0731,0.04951,1.7466,3.36534,1.69092,0.00020911,0.00020911,0.00020911
3,55.7962,1.56866,2.48258,1.38931,0.00667,0.63158,0.06696,0.03907,1.86562,3.32082,1.63933,0.00030634,0.00030634,0.00030634
4,80.8203,1.6013,2.03448,1.36152,0.00778,0.73684,0.0823,0.04671,1.51696,3.14061,1.45737,0.00039169,0.00039169,0.00039169
5,112.055,1.42851,1.87859,1.30522,0.00778,0.73684,0.08024,0.0432,1.54537,3.09023,1.47115,0.00046516,0.00046516,0.00046516
6,157.727,1.33143,1.7269,1.27041,0.27907,0.20416,0.20705,0.08673,1.4541,3.09527,1.4156,0.00052675,0.00052675,0.00052675
7,197.873,1.48296,1.90355,1.37986,0.56124,0.15789,0.21277,0.13049,1.47053,2.94495,1.44904,0.00057646,0.00057646,0.00057646
8,238.521,1.39912,1.86854,1.28969,0.82013,0.15789,0.22638,0.12948,1.57181,2.95257,1.44498,0.00061429,0.00061429,0.00061429
9,279.177,1.38466,1.72466,1.23896,0.3888,0.15789,0.17202,0.0907,1.60432,3.00238,1.4422,0.00064024,0.00064024,0.00064024
10,317.119,1.33893,1.68591,1.23349,1,0.15386,0.19806,0.10737,1.57068,2.77873,1.61406,0.00065431,0.00065431,0.00065431
11,330.229,1.26651,1.7041,1.1895,0.46035,0.22559,0.24087,0.11578,1.56271,2.75542,1.64219,0.0006565,0.0006565,0.0006565
12,342.814,1.23585,1.61473,1.22201,0.3183,0.26316,0.26334,0.11465,1.57361,2.73888,1.66876,0.00064681,0.00064681,0.00064681
13,355.251,1.25879,1.63743,1.2342,0.63534,0.31579,0.33994,0.15415,1.57934,2.81478,1.59611,0.00062524,0.00062524,0.00062524
14,367.906,1.33258,1.69473,1.23905,0.87069,0.35571,0.39952,0.15773,1.58734,2.73742,1.55222,0.00059179,0.00059179,0.00059179
15,380.394,1.30846,1.59791,1.21348,0.87069,0.35571,0.39952,0.15773,1.58734,2.73742,1.55222,0.00054646,0.00054646,0.00054646
16,392.928,1.26486,1.49556,1.18971,0.78386,0.31579,0.41552,0.16997,1.67216,2.52759,1.61366,0.00048925,0.00048925,0.00048925
17,405.578,1.22819,1.50577,1.17172,0.81863,0.31579,0.39117,0.18141,1.59408,2.41198,1.56633,0.000416,0.000416,0.000416
18,418.029,1.15504,1.46924,1.16212,0.72356,0.41388,0.48873,0.23181,1.48556,2.31007,1.47607,0.000317,0.000317,0.000317
19,430.362,1.19079,1.43885,1.16077,0.72356,0.41388,0.48873,0.23181,1.48556,2.31007,1.47607,0.000218,0.000218,0.000218
20,442.956,1.1648,1.42405,1.16123,0.69006,0.42105,0.4925,0.25465,1.36836,2.3787,1.31922,0.000119,0.000119,0.000119
